t=2016-04-14_02.26.37

l0,0=0,95,90,98,87,92,92,77,93,91,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l1,0=93,0,92,87,93,93,92,90,87,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2,0=93,93,0,0,93,93,95,91,7,91,93,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l3,0=95,77,0,0,93,93,92,68,85,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l4,0=56,92,90,93,0,90,42,0,0,79,85,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l5,0=93,95,92,93,93,0,92,91,93,92,91,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l6,0=86,90,94,80,60,92,0,91,90,91,91,20,0,79,0,47,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l7,0=47,92,89,56,34,92,92,0,91,92,93,50,0,10,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l8,0=28,21,0,56,0,45,49,47,0,92,62,51,42,89,23,48,80,60,0,0,0,73,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
l9,0=86,0,73,0,82,92,78,91,93,0,93,51,43,86,9,49,69,71,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l10,0=0,85,89,76,87,84,86,91,82,93,0,77,61,90,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l11,0=0,0,0,0,0,0,17,32,89,75,66,0,51,79,32,92,84,92,0,62,0,56,0,0,23,0,0,0,0,0,0,0,0,0,0,0,46,0,24,0
l12,0=0,0,0,0,0,0,0,0,84,72,54,84,0,81,86,92,80,99,0,0,75,72,0,79,90,47,0,0,0,0,0,0,0,33,0,0,38,0,42,0
l13,0=0,0,6,0,60,0,27,0,93,68,72,74,83,0,79,58,68,74,0,62,0,68,74,57,23,24,0,0,0,0,0,0,0,0,0,0,8,0,21,0
l14,0=0,0,0,0,0,0,0,0,83,35,0,51,51,45,0,49,85,86,0,0,75,0,54,67,47,67,0,0,0,0,0,0,0,37,0,0,0,0,1,0
l15,0=0,0,0,0,0,0,25,17,84,68,61,95,92,47,40,0,76,85,0,0,42,0,47,2,38,0,0,0,0,0,0,0,0,0,0,0,18,0,27,0
l16,0=0,0,0,0,0,0,22,0,82,59,0,52,49,30,33,38,0,98,0,74,70,85,83,47,26,0,0,0,0,0,0,0,0,31,0,44,49,3,32,69
l17,0=0,0,0,0,0,0,0,0,77,78,0,56,86,47,32,52,95,0,0,0,84,87,70,0,26,28,0,0,0,0,0,0,0,41,0,0,51,0,0,0
l18,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,7,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l19,0=0,0,0,0,0,0,0,0,21,0,0,24,0,54,0,0,68,0,0,0,83,60,93,0,0,0,0,0,0,1,0,60,0,0,0,27,70,21,73,66
l20,0=0,0,0,0,0,0,0,0,0,0,0,0,27,0,20,7,69,73,89,86,0,91,93,0,0,0,0,0,0,0,0,0,0,0,22,0,78,38,68,98
l21,0=0,0,0,0,0,0,0,0,75,0,0,28,27,39,0,0,80,72,53,59,98,0,93,0,0,0,0,0,0,0,0,0,0,0,0,62,43,22,88,51
l22,0=0,0,0,0,0,0,0,0,60,26,0,0,0,32,16,21,70,59,66,90,98,91,0,0,7,0,48,0,0,0,0,0,0,0,0,51,98,24,59,67
l23,0=0,0,0,0,0,0,0,0,31,0,0,0,77,73,82,0,74,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,31,71,0,0,0,0,0
l24,0=0,0,0,0,0,0,0,0,84,0,0,51,92,44,82,59,80,85,0,0,0,0,17,83,0,34,0,0,0,0,0,0,44,37,71,0,0,0,6,0
l25,0=0,0,0,0,0,0,0,0,13,0,0,0,82,41,87,0,0,75,0,0,0,0,0,0,74,0,65,1,0,0,0,44,49,33,73,0,0,0,0,0
l26,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,70,0,0,60,0,73,89,89,92,93,75,69,75,0,0,0,0,0
l27,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,89,94,98,87,69,66,73,0,0,0,0,0
l28,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,88,100,0,94,97,91,74,66,75,0,0,0,0,0
l29,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,87,100,89,0,97,73,65,64,69,0,0,0,0,0
l30,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,100,89,94,0,80,81,77,0,0,0,0,0,0
l31,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,60,81,67,81,73,71,0,94,84,91,0,0,0,0,0
l32,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,60,78,66,77,66,71,89,0,88,93,0,0,0,0,0
l33,0=0,0,0,0,0,0,0,0,0,0,0,0,74,0,64,0,53,71,0,0,0,0,0,54,66,69,71,59,68,60,73,86,86,0,75,0,0,0,0,0
l34,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,64,0,17,70,64,68,78,72,75,64,0,92,95,68,0,0,0,0,0,0
l35,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,4,0,65,59,0,0,0,0,0,0,0,0,0,0,0,0,0,52,55,90,53
l36,0=0,0,0,0,0,0,0,0,0,0,0,43,23,23,0,5,69,76,0,64,96,67,92,0,0,0,0,0,0,0,0,0,0,0,0,71,0,38,31,78
l37,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,41,96,30,66,0,0,0,0,0,0,0,0,0,0,0,0,71,62,0,21,95
l38,0=0,0,0,0,0,0,0,0,66,0,0,39,39,32,0,39,93,0,0,64,98,90,91,0,0,0,0,0,0,0,0,0,0,0,0,78,67,26,0,96
l39,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,74,97,77,84,0,0,0,0,0,0,0,0,0,0,0,0,65,56,59,30,0

l0,1=0,80,80,90,71,88,76,41,48,80,45,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l1,1=83,0,83,85,86,92,69,72,56,63,77,0,0,45,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2,1=81,78,0,84,76,92,85,81,0,83,85,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l3,1=82,78,68,0,84,85,69,18,0,53,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l4,1=53,78,55,82,0,77,62,1,67,72,76,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l5,1=78,83,83,87,85,0,77,86,74,84,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l6,1=60,51,82,68,74,86,0,87,77,59,84,48,9,65,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l7,1=27,71,79,51,30,92,86,0,84,84,89,32,3,36,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l8,1=1,11,0,0,49,48,65,75,0,89,70,67,0,77,60,69,48,24,0,0,0,64,54,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
l9,1=46,23,68,39,73,78,40,77,87,0,87,65,23,80,46,71,33,26,0,0,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l10,1=30,72,78,78,81,85,84,88,83,89,0,63,0,83,0,62,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
